Column1,Unnamed: 0,address,districts
121,943,"город Москва, Профсоюзная улица, дом 16/10","Россия, Москва, Юго-Западный административный округ, Академический район"
122,944,"город Москва, Профсоюзная улица, дом 19","Россия, Москва, Юго-Западный административный округ, Академический район"
123,945,"город Москва, Профсоюзная улица, дом 24, корпус 1","Россия, Москва, Юго-Западный административный округ, Академический район"
124,946,"город Москва, Профсоюзная улица, дом 33, строение 1","Россия, Москва, Юго-Западный административный округ, район Черёмушки, Новые Черёмушки квартал 22-23"
125,949,"город Москва, Профсоюзная улица, дом 98, корпус 10","Россия, Москва, Юго-Западный административный округ, район Коньково, 44-47-й квартал района Коньково"
126,950,"город Москва, Профсоюзная улица, дом 113, корпус 1","Россия, Москва, Юго-Западный административный округ, район Коньково, 7-9-й микрорайон"
127,952,"город Москва, Профсоюзная улица, дом 132, корпус 8","Россия, Москва, Юго-Западный административный округ, район Тёплый Стан, 1-4-й микрорайон"
128,1424,"город Москва, проспект Мира, дом 108","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
129,1433,"город Москва, Ленинградский проспект, дом 77, корпус 4","Россия, Москва, Северный административный округ, район Сокол"
130,1453,"город Москва, Профсоюзная улица, дом 140, корпус 6","Россия, Москва, Юго-Западный административный округ, район Тёплый Стан, 1-4-й микрорайон"
131,1455,"город Москва, Ленинский проспект, дом 113/1","Россия, Москва, Юго-Западный административный округ, Обручевский район"
132,1460,"город Москва, Ленинский проспект, дом 121/1, корпус 3","Россия, Москва, Юго-Западный административный округ, Обручевский район"
133,1473,"город Москва, проспект Мира, дом 33, корпус 1","Россия, Москва, Центральный административный округ, Мещанский район"
134,1474,"город Москва, проспект Мира, дом 33, корпус 1","Россия, Москва, Центральный административный округ, Мещанский район"
135,1476,"город Москва, проспект Мира, дом 146","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
136,1477,"город Москва, проспект Мира, дом 146","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
137,1552,"город Москва, проспект Вернадского, дом 82, строение 2","Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
138,1562,"город Москва, проспект Вернадского, дом 92","Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
139,1568,"город Москва, Кутузовский проспект, дом 33","Россия, Москва, Западный административный округ, район Дорогомилово"
140,1596,"город Москва, Ленинградский проспект, дом 69, строение 1","Россия, Москва, Северный административный округ, район Сокол"
141,1597,"город Москва, Ленинградский проспект, дом 69, строение 1","Россия, Москва, Северный административный округ, район Сокол"
142,1598,"город Москва, Ленинградский проспект, дом 69, строение 1","Россия, Москва, Северный административный округ, район Сокол"
143,1614,"город Москва, Каширское шоссе, дом 122","Россия, Москва, Южный административный округ, район Орехово-Борисово Южное"
144,1617,"город Москва, Варшавское шоссе, дом 9","Россия, Москва, Южный административный округ, Донской район"
145,1618,"город Москва, Варшавское шоссе, дом 9","Россия, Москва, Южный административный округ, Донской район"
146,1622,"город Москва, Варшавское шоссе, дом 152, корпус 2","Россия, Москва, Южный административный округ, район Чертаново Южное"
147,1693,"город Москва, Профсоюзная улица, дом 58, корпус 4","Россия, Москва, Юго-Западный административный округ, Обручевский район"
148,1696,"город Москва, Профсоюзная улица, дом 96","Россия, Москва, Юго-Западный административный округ, район Коньково, 44-47-й квартал района Коньково"
149,1698,"город Москва, Профсоюзная улица, дом 104","Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал, жилой комплекс Галина"
150,1699,"город Москва, Профсоюзная улица, дом 104","Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал, жилой комплекс Галина"
151,1700,"город Москва, Профсоюзная улица, дом 104","Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал, жилой комплекс Галина"
152,1701,"город Москва, Профсоюзная улица, дом 104","Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал, жилой комплекс Галина"
153,1702,"город Москва, Профсоюзная улица, дом 104","Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал, жилой комплекс Галина"
154,1703,"город Москва, Профсоюзная улица, дом 104","Россия, Москва, Юго-Западный административный округ, район Коньково, 48-50-й квартал, жилой комплекс Галина"
155,1708,"город Москва, Ленинский проспект, дом 111, корпус 1","Россия, Москва, Юго-Западный административный округ, Обручевский район, жилой комплекс Велл Хаус"
156,1709,"город Москва, Профсоюзная улица, дом 25, корпус 1","Россия, Москва, Юго-Западный административный округ, район Черёмушки, Новые Черёмушки квартал 22-23"
157,1731,"город Москва, проспект Вернадского, дом 94, корпус 1","Россия, Москва, Западный административный округ, район Тропарёво-Никулино, жилой комплекс Миракс Парк"
158,1906,"город Москва, Ленинградский проспект, дом 80, корпус 19","Россия, Москва, Северный административный округ, район Сокол"
159,1907,"город Москва, Ленинградский проспект, дом 80, корпус 17","Россия, Москва, Северный административный округ, район Сокол"
160,1908,"город Москва, Ленинградский проспект, дом 80, корпус 17","Россия, Москва, Северный административный округ, район Сокол"
161,1917,"город Москва, Ленинский проспект, дом 4, строение 1А","Россия, Москва, Центральный административный округ, район Якиманка"
162,1920,"город Москва, проспект Мира, дом 95, строение 3","Россия, Москва, Северо-Восточный административный округ, Останкинский район, жилой комплекс Хилл8"
163,1937,"город Москва, проспект Мира, дом 12, строение 1","Россия, Москва, Центральный административный округ, Мещанский район"
164,1952,"город Москва, Профсоюзная улица, дом 122","Россия, Москва, Юго-Западный административный округ, район Тёплый Стан, 1-4-й микрорайон"
165,1998,"город Москва, Ленинский проспект, дом 8, корпус 5","Россия, Москва, Центральный административный округ, район Якиманка"
166,1999,"город Москва, Ленинский проспект, дом 89/2","Россия, Москва, Юго-Западный административный округ, Ломоносовский район, 16-й квартал"
167,2002,"город Москва, Ленинский проспект, дом 105","Россия, Москва, Юго-Западный административный округ, Обручевский район, 37-й квартал"
168,2109,"город Москва, Ленинский проспект, дом 65, корпус 2","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
169,2113,"город Москва, Ленинский проспект, дом 65, корпус 1","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
170,2114,"город Москва, Ленинский проспект, дом 65, корпус 1","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
171,2115,"город Москва, Ленинский проспект, дом 4, строение 1","Россия, Москва, Центральный административный округ, район Якиманка"
172,2116,"город Москва, Ленинский проспект, дом 1/2, корпус 1","Россия, Москва, Центральный административный округ, район Якиманка"
173,2117,"город Москва, Ленинский проспект, дом 1/2, корпус 1","Россия, Москва, Центральный административный округ, район Якиманка"
174,2121,"город Москва, Ленинский проспект, дом 9","Россия, Москва, Центральный административный округ, район Якиманка"
175,2123,"город Москва, проспект Вернадского, дом 29","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
176,2124,"город Москва, проспект Вернадского, дом 29","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
177,2125,"город Москва, проспект Вернадского, дом 29","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
178,2126,"город Москва, проспект Вернадского, дом 29","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
179,2127,"город Москва, проспект Вернадского, дом 29","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
180,2128,"город Москва, проспект Вернадского, дом 29","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
181,2130,"город Москва, Ленинский проспект, дом 8, корпус 23","Россия, Москва, Центральный административный округ, район Якиманка"
